# pres  Tmin  Tmax  qmin  qmax
5.914756666666666570e+04 2.505884504593987572e+02 2.567885483877964248e+02 9.951901120075490326e-06 1.223506871610879898e-03
5.895608333333333576e+04 2.501371684865860061e+02 2.565946961447006629e+02 9.951901120075490326e-06 1.174989156424999237e-03
5.876496666666666715e+04 2.501150153233600975e+02 2.563228768619035236e+02 9.951901120075490326e-06 1.188590889796614647e-03
5.857409999999999854e+04 2.499276127355846029e+02 2.560380593706731815e+02 9.951901120075490326e-06 1.143821049481630325e-03
5.838373333333332994e+04 2.498513649098566134e+02 2.558952558630756187e+02 9.951901120075490326e-06 1.074725994840264320e-03
5.819408333333333576e+04 2.496737682091229544e+02 2.556591445334719310e+02 9.951901120075490326e-06 1.054355176165699959e-03
5.800498333333332994e+04 2.496416405516191901e+02 2.555026628140400931e+02 9.951901120075490326e-06 1.041064737364649773e-03
5.781613333333333139e+04 2.494533567895202566e+02 2.550856078331545120e+02 9.951901120075490326e-06 1.016922062262892723e-03
5.762781666666666570e+04 2.494362725312472548e+02 2.548500284684088797e+02 9.951901120075490326e-06 9.902243036776781082e-04
5.744069999999999709e+04 2.492812154718187401e+02 2.548636248638136976e+02 9.951901120075490326e-06 9.670350700616836548e-04
5.725296666666666715e+04 2.490769541294282305e+02 2.551408043590179204e+02 9.951901120075490326e-06 9.605556260794401169e-04
5.706673333333332994e+04 2.490400529222828538e+02 2.546580838247083420e+02 9.951901120075490326e-06 9.317405056208372116e-04
5.688159999999999854e+04 2.489738091427870188e+02 2.539833585233015469e+02 9.951901120075490326e-06 9.060876909643411636e-04
5.669550000000000000e+04 2.487897628607706508e+02 2.539014865820928719e+02 9.951901120075490326e-06 8.841489907354116440e-04
5.651108333333333576e+04 2.486136535379556278e+02 2.536343814833741135e+02 9.951901120075490326e-06 8.849578443914651871e-04
5.632601666666667006e+04 2.485550690678140313e+02 2.538039352384450922e+02 9.951901120075490326e-06 8.443426340818405151e-04
5.614228333333333285e+04 2.483948089572116373e+02 2.534417178156623720e+02 9.951901120075490326e-06 8.236925350502133369e-04
5.595873333333332994e+04 2.482593721012183039e+02 2.533528771835030113e+02 9.951901120075490326e-06 8.014298509806394577e-04
5.577586666666666861e+04 2.481193759837703112e+02 2.531936242509310944e+02 9.951901120075490326e-06 7.809401722624897957e-04
5.559303333333333285e+04 2.480099064529583757e+02 2.529101674890997344e+02 9.951901120075490326e-06 7.664540316909551620e-04
5.541208333333333576e+04 2.479412930215104893e+02 2.527486261659483944e+02 9.951901120075490326e-06 7.478953339159488678e-04
5.523118333333333430e+04 2.477904775402551820e+02 2.525107814072653127e+02 9.951901120075490326e-06 7.334754918701946735e-04
5.504983333333333576e+04 2.476187347114912995e+02 2.518930299148487393e+02 9.951901120075490326e-06 7.226646994240581989e-04
5.486944999999999709e+04 2.475335265960434583e+02 2.519153804067057933e+02 9.951901120075490326e-06 6.999384495429694653e-04
5.468976666666667006e+04 2.475601845897647593e+02 2.518957518112619027e+02 9.951901120075490326e-06 6.945500499568879604e-04
5.451101666666667006e+04 2.473670078345093373e+02 2.520678236804476740e+02 9.951901120075490326e-06 6.735349306836724281e-04
5.433186666666666861e+04 2.476595103528432560e+02 2.510073452155154712e+02 9.951901120075490326e-06 5.916632944718003273e-04
5.415284999999999854e+04 2.478976154071239932e+02 2.508477133480453745e+02 9.951901120075490326e-06 2.266959927510470152e-04
